LogFile Data Coherent Correlation Imaging:

---------------------------- Header -----------------------------------
Image Format Holograms: [960,972]
Image Format Reference-filtered : [960,972]
Image Format Flattened Holograms: [70,70]
Image Format Correlation matrix: [28800,28800]
Format: Float64
---------------------------- Data -----------------------------------
Frame_Nr:	 Timestamp:	 Helicitiy:	 State:	 Mode:	 Topography-Nr:	 Translation_y:	 Translation_x:	 FileName:
278	 278.884	 1	 1	 1-1	 2	 0.002	 -0.006	 00278.bin	
279	 279.271	 1	 1	 1-1	 2	 0.001	 -0.015	 00279.bin	
280	 279.658	 1	 1	 1-1	 2	 0.017	 -0.004	 00280.bin	
281	 280.045	 1	 1	 1-1	 2	 0.004	 -0.011	 00281.bin	
282	 280.432	 1	 1	 1-1	 2	 -0.002	 -0.012	 00282.bin	
283	 280.819	 1	 1	 1-1	 2	 -0.004	 -0.013	 00283.bin	
284	 281.205	 1	 1	 1-1	 2	 0.007	 0.003	 00284.bin	
285	 281.592	 1	 1	 1-1	 2	 -0.003	 -0.001	 00285.bin	
286	 281.979	 1	 1	 1-1	 2	 0.006	 -0.016	 00286.bin	
287	 282.367	 1	 1	 1-1	 2	 0.012	 -0.007	 00287.bin	
288	 282.753	 1	 1	 1-1	 2	 0.012	 -0.005	 00288.bin	
289	 283.140	 1	 1	 1-1	 2	 -0.025	 -0.007	 00289.bin	
290	 283.527	 1	 1	 1-1	 2	 0.007	 -0.015	 00290.bin	
291	 283.915	 1	 1	 1-1	 2	 -0.002	 -0.014	 00291.bin	
292	 284.301	 1	 1	 1-1	 2	 0.006	 0.001	 00292.bin	
293	 284.688	 1	 1	 1-1	 2	 -0.007	 -0.008	 00293.bin	
294	 285.075	 1	 1	 1-1	 2	 0.013	 -0.012	 00294.bin	
295	 285.462	 1	 1	 1-1	 2	 -0.020	 -0.013	 00295.bin	
296	 285.849	 1	 1	 1-1	 2	 0.002	 -0.024	 00296.bin	
297	 286.236	 1	 1	 1-1	 2	 0.005	 -0.001	 00297.bin	
298	 286.623	 1	 1	 1-1	 2	 0.014	 -0.020	 00298.bin	
299	 287.010	 1	 1	 1-1	 2	 -0.017	 -0.008	 00299.bin	
300	 287.399	 1	 1	 1-1	 2	 -0.006	 -0.005	 00300.bin	
301	 309.963	 -1	 1	 1-1	 2	 -0.003	 0.015	 00301.bin	
302	 310.350	 -1	 1	 1-1	 2	 0.005	 0.016	 00302.bin	
303	 310.736	 -1	 1	 1-1	 2	 -0.018	 0.003	 00303.bin	
304	 311.124	 -1	 1	 1-1	 2	 0.001	 0.015	 00304.bin	
305	 311.510	 -1	 1	 1-1	 2	 0.003	 0.016	 00305.bin	
306	 311.897	 -1	 1	 1-1	 2	 0.009	 0.000	 00306.bin	
307	 312.284	 -1	 1	 1-1	 2	 0.004	 0.006	 00307.bin	
308	 312.671	 -1	 1	 1-1	 2	 -0.005	 0.014	 00308.bin	
309	 313.058	 -1	 1	 1-1	 2	 0.012	 0.013	 00309.bin	
310	 313.445	 -1	 1	 1-1	 2	 0.037	 0.003	 00310.bin	
311	 313.832	 -1	 1	 1-1	 2	 -0.002	 0.003	 00311.bin	
